"x"	"y"	"pres"
"491"	2556700.3	1149126.1	1
"492"	2566906.4	1128404.5	1
"493"	2580390.8	1131206.1	0
"494"	2580497.4	1131200.7	0
"495"	2568200.2	1139899.8	0
"496"	2568000.3	1127999.3	0
"497"	2571600.3	1117598.4	0
"498"	2570099.3	1141295.4	1
"499"	2576799.8	1121598.6	0
"500"	2571399.4	1141299.9	0
"501"	2570000	1124100	1
"502"	2567302	1142705.6	1
"503"	2567598.2	1141003.6	0
"504"	2576501.3	1144798.90000001	1
"505"	2565990.8	1142202.1	0
"506"	2577904.8	1141703.9	1
"507"	2573801.8	1144002.7	1
"508"	2569696.8	1142495.1	1
"509"	2580805.96	1127042.88	0
"510"	2580747.05	1126947.96	0
"511"	2579493.24	1127048.15	0
"512"	2580243.28	1127611.51	0
"513"	2580259.37	1127455.27	0
"514"	2580202.34	1127087.23	0
"515"	2579149.56	1126813.48	0
"516"	2578564.43	1123658.45	0
"517"	2580244	1127614	0
"518"	2579125.98	1124114.63	0
"519"	2578588	1123645.8	0
"520"	2579132.85	1124078.65	0
"521"	2579228.68	1124056.79	0
"522"	2579221	1123601	0
"523"	2578616.29	1123647.95	0
"524"	2579287	1123540	0
"525"	2579146	1123696	0
"526"	2578454.92	1127133.81	0
"527"	2578503.27	1127285.06	0
"528"	2578439.11	1127104.02	0
"529"	2578480.98	1127199.27	0
"530"	2576498	1125302	0
"531"	2577231	1125337	0
"532"	2577095	1125563	0
"533"	2577002	1125737.1	0
"534"	2576486	1125157	0
"535"	2577191	1125438	0
"536"	2580384	1126010	0
"537"	2580205	1125430	0
"538"	2580713	1126950	0
"539"	2580735	1126895	0
"540"	2580700	1127022	0
"541"	2580692	1127093	0
